iter	RMSE
2649	0.1529849643
2650	0.1529794198
2651	0.1529141015
2652	0.1529095413
2653	0.1528452767
2654	0.1527541516
2655	0.1527337184
2656	0.1526487557
2657	0.152639256
2658	0.1525343151
2659	0.152479948
2660	0.1523978124
2661	0.1523720895
2662	0.1523220253
2663	0.1522874497
2664	0.1522436907
2665	0.1521213125
2666	0.1520181719
2667	0.1519496158
2668	0.1518960613
2669	0.1518312504
2670	0.1517507419
2671	0.1517240206
2672	0.1516606728
2673	0.1515629711
2674	0.1515049087
2675	0.1514402705
2676	0.1513560764
2677	0.1513297631
2678	0.151325471
2679	0.1512952321
2680	0.1512808726
2681	0.1512371709
2682	0.1512302535
2683	0.1511003552
2684	0.1510530025
2685	0.1510049209
2686	0.1509797776
2687	0.1509196195
2688	0.1508487432
2689	0.1508207484
2690	0.1507482228
2691	0.1506823911
2692	0.1506642627
2693	0.1506000042
2694	0.1505027145
2695	0.150460963
2696	0.1504160168
2697	0.1503648993
2698	0.1502839202
2699	0.150266229
2700	0.1501787924
2701	0.150165274
2702	0.1500971055
2703	0.1500522108
2704	0.1499894656
2705	0.1498487672
2706	0.1497932646
2707	0.149768156
2708	0.1497255115
2709	0.1496397917
2710	0.1495854335
2711	0.1494722586
2712	0.1493922569
2713	0.1493630218
2714	0.1493165885
2715	0.1492998797
2716	0.1491823239
2717	0.1490671686
2718	0.148984903
2719	0.1488970282
2720	0.1488091201
2721	0.1487290546
2722	0.148707609
2723	0.148577966
2724	0.1485368241
2725	0.1485344868
2726	0.1484178558
2727	0.1483931318
2728	0.1483889954
2729	0.1483590361
2730	0.1483561391
2731	0.1482787724
2732	0.1481903401
2733	0.1481133748
2734	0.1479755248
2735	0.14795062
2736	0.1478550557
2737	0.1477797926
2738	0.1477257558
2739	0.1477252862
2740	0.1476022668
2741	0.1475170613
2742	0.1474845262
2743	0.1474569134
2744	0.1473949993
2745	0.147345555
2746	0.1472422024
2747	0.1471744012
2748	0.1471489707
2749	0.1470449875
2750	0.1469876281
2751	0.1469325333
2752	0.1468739605
2753	0.1468163952
2754	0.1467458747
2755	0.1466802228
2756	0.146678773
2757	0.1465808205
2758	0.1464995576
2759	0.1464069899
2760	0.1463063425
2761	0.1462713286
2762	0.1461939898
2763	0.1461935251
2764	0.1461794649
2765	0.1461290272
2766	0.1460638475
2767	0.1460331488
2768	0.1459640162
2769	0.1458883719
2770	0.1458397293
2771	0.1457979389
2772	0.1457569936
2773	0.1457179484
2774	0.1456521869
2775	0.1456379809
2776	0.1455905054
2777	0.1455036781
2778	0.1454129545
2779	0.1453855177
2780	0.1453851455
2781	0.1453163684
2782	0.1452255909
2783	0.1451458929
2784	0.1451027558
2785	0.1450046872
2786	0.144983538
2787	0.1448957369
2788	0.1448909772
2789	0.1448342802
2790	0.1448171438
2791	0.1447806154
2792	0.1447630755
2793	0.1447104365
2794	0.1447053867
2795	0.144642041
2796	0.1445565532
2797	0.1444793666
2798	0.1444261122
2799	0.1443649616
2800	0.1442764655
2801	0.1442148276
2802	0.1441337053
2803	0.1440332396
2804	0.1439782718
2805	0.1439332377
2806	0.1438541288
2807	0.1438170236
2808	0.1437580526
2809	0.1436713845
2810	0.1435527452
2811	0.1435167531
2812	0.1435149319
2813	0.1434720529
2814	0.1434219845
2815	0.1433311698
2816	0.1432540711
2817	0.1431773057
2818	0.1430891832
2819	0.1430283246
2820	0.1429831953
2821	0.1428936739
2822	0.1428915756
2823	0.1428453098
2824	0.1428439541
2825	0.142831603
2826	0.1427796576
2827	0.1427670128
2828	0.1427194104
2829	0.1426471113
2830	0.1426465149
2831	0.1426138068
2832	0.1426118745
2833	0.1425723733
2834	0.1425302178
2835	0.1424730949
2836	0.1424308406
2837	0.1423948345
2838	0.1423428947
2839	0.1422725113
2840	0.1421854546
2841	0.1421296453
2842	0.1420584173
2843	0.1420442239
2844	0.1420087304
2845	0.1419334646
2846	0.1419330507
2847	0.1418914826
2848	0.1418094025
2849	0.1417378715
2850	0.1416696944
2851	0.1415716958
2852	0.1415219242
2853	0.1414437142
2854	0.1413860314
2855	0.1413004918
2856	0.1412282792
2857	0.1412275098
2858	0.1411739906
2859	0.1411231255
2860	0.141049843
2861	0.1409624458
2862	0.1409316451
2863	0.1408481146
2864	0.1407689323
2865	0.1406835484
2866	0.1406610208
2867	0.1405698281
2868	0.1405458261
2869	0.1405014978
2870	0.1404452001
2871	0.1403903402
2872	0.140354451
2873	0.1403119702
2874	0.1402339229
2875	0.1401293104
2876	0.1400899802
2877	0.140046144
2878	0.1399892921
2879	0.1399023035
2880	0.1398172364
2881	0.1397420998
2882	0.1396783532
2883	0.1396122432
2884	0.1395749967
2885	0.1395208411
2886	0.1394890601
2887	0.139426227
2888	0.1393494415
2889	0.1392924788
2890	0.139234989
2891	0.1391888653
2892	0.1391344715
2893	0.1390338508
2894	0.1389638178
2895	0.1388806531
2896	0.1387961426
2897	0.1387487619
2898	0.1386658501
2899	0.138575453
2900	0.1385604846
2901	0.1385188749
2902	0.1384509444
2903	0.1384015842
2904	0.1383895408
2905	0.1382922384
2906	0.1382208445
2907	0.1381444239
2908	0.1381081455
2909	0.1380305566
2910	0.1379796834
2911	0.1379334944
2912	0.137922056
2913	0.1378774152
2914	0.1378156549
2915	0.1377158082
2916	0.1376522046
2917	0.1375825169
2918	0.1375256863
2919	0.1374776989
2920	0.1374627761
2921	0.1374004213
2922	0.1373962372
2923	0.1373836381
2924	0.1373213858
2925	0.1372741053
2926	0.1372471904
2927	0.1371998129
2928	0.1371895732
2929	0.1371892033
2930	0.1371462905
2931	0.1371460839
2932	0.1371009842
2933	0.1370574843
2934	0.1369468665
2935	0.1368902198
2936	0.1368403094
2937	0.1367870231
2938	0.1366839307
2939	0.1366577412
2940	0.1366575045
2941	0.13662161
2942	0.1365670206
2943	0.136496749
2944	0.1364520273
2945	0.1364126684
2946	0.1363698643
2947	0.1362728196
2948	0.1362038828
2949	0.136125429
2950	0.1360374855
2951	0.1359946259
2952	0.1359911133
2953	0.1359713819
2954	0.1359209505
2955	0.1359005038
2956	0.1358219264
2957	0.1357760588
2958	0.1357008611
2959	0.1356192371
2960	0.135612932
2961	0.1355582657
2962	0.1354837446
2963	0.1354387102
2964	0.1354316677
2965	0.1353509684
2966	0.135331216
2967	0.1352917315
2968	0.1352214163
2969	0.1351499879
2970	0.1350793155
2971	0.1350240256
2972	0.1349521021
2973	0.1348555222
2974	0.1348024371
